cod_ibge;municipio;uf;local_mapa;latitude;longitude;acessos;share_regional;share_grande;delta_regional_pp;lider;share_lider;n_prestadoras;dens_100hab
5107743;Santa Cruz do Xingu;MT;Santa Cruz do Xingu, MT, Brasil;-10,1532;-52,3953;437,0;58,6;1,8;-12,5;Bottega Telecomunicacoes;43,7;11;14,7
5107768;Santa Rita do Trivelato;MT;Santa Rita do Trivelato, MT, Brasil;-13,8146;-55,2706;879,0;60,5;1,6;22,6;Mutum Fibra;59,7;10;24,4
5107776;Santa Terezinha;MT;Santa Terezinha, MT, Brasil;-10,4704;-50,514;395,0;11,6;5,3;-56,6;Starlink;78,7;11;5,1
5107263;Santo Afonso;MT;Santo Afonso, MT, Brasil;-14,4945;-57,0091;323,0;67,5;1,9;25,8;Brasil TecPar;66,3;7;13,6
5107800;Santo Antônio de Leverger;MT;Santo Antônio de Leverger, MT, Brasil;-15,8632;-56,0788;1770,0;52,1;1,5;16,6;Starlink;37,9;11;10,5
5107792;Santo Antônio do Leste;MT;Santo Antônio do Leste, MT, Brasil;-14,805;-53,6075;962,0;81,2;0,5;-16,2;Especialista Telecom E Serviços Em Tecnologia;49,7;10;22,5
5107875;Sapezal;MT;Sapezal, MT, Brasil;-12,9892;-58,7645;2787,0;65,3;2,3;25,7;Speed Conecte Servicos De Internet Rural;43,5;17;8,3
5107883;Serra Nova Dourada;MT;Serra Nova Dourada, MT, Brasil;-12,0896;-51,4025;146,0;0,7;6,2;0,7;Starlink;92,5;4;7,4
5107909;Sinop;MT;Sinop, MT, Brasil;-11,8604;-55,5091;77994,0;72,8;23,8;-3,0;Gb Online;48,2;38;33,7
5107925;Sorriso;MT;Sorriso, MT, Brasil;-12,5425;-55,7211;39312,0;72,4;21,1;8,4;Lci Telecom;40,9;38;30,5
5107859;São Félix do Araguaia;MT;São Félix do Araguaia, MT, Brasil;-11,615;-50,6706;1549,0;44,3;2,6;43,6;Starlink;50,0;14;10,4
5107297;São José do Povo;MT;São José do Povo, MT, Brasil;-16,4549;-54,2487;832,0;90,0;0,4;90,0;G15 Telecom;82,9;9;31,4
5107305;São José do Rio Claro;MT;São José do Rio Claro, MT, Brasil;-13,4398;-56,7218;4564,0;88,0;0,5;29,6;Brasil TecPar;83,2;13;32,0
5107354;São José do Xingu;MT;São José do Xingu, MT, Brasil;-10,7982;-52,7486;982,0;47,9;1,7;-8,2;Starlink;47,3;11;15,6
5107107;São José dos Quatro Marcos;MT;São José dos Quatro Marcos, MT, Brasil;-15,6276;-58,1772;4660,0;98,2;0,7;32,4;Vsp 4 Marcos;73,6;12;26,5
5107404;São Pedro da Cipa;MT;São Pedro da Cipa, MT, Brasil;-16,0109;-54,9176;441,0;85,7;1,6;80,0;Brasil TecPar;65,3;8;10,4
5107941;Tabaporã;MT;Tabaporã, MT, Brasil;-11,3007;-56,8312;673,0;5,6;2,8;-91,3;Starlink;85,6;11;6,8
5107958;Tangará da Serra;MT;Tangará da Serra, MT, Brasil;-14,6229;-57,4933;41882,0;86,8;9,9;43,7;Nave Net;60,1;27;35,9
5108006;Tapurah;MT;Tapurah, MT, Brasil;-12,695;-56,5178;3342,0;76,2;0,9;9,1;Brasil TecPar;55,6;12;20,9
5108055;Terra Nova do Norte;MT;Terra Nova do Norte, MT, Brasil;-10,517;-55,231;1800,0;86,3;1,4;43,5;Net Vip Provedor De Internet;52,4;14;17,1
5108105;Tesouro;MT;Tesouro, MT, Brasil;-16,0809;-53,559;458,0;64,0;3,3;-4,1;Hi-Teach Informatica;59,2;9;15,8
5108204;Torixoréu;MT;Torixoréu, MT, Brasil;-16,2006;-52,5571;752,0;82,2;1,9;50,7;B C Infonet;59,0;7;17,7
5108303;União do Sul;MT;União do Sul, MT, Brasil;-11,5308;-54,3616;809,0;66,9;1,9;66,3;Twspeed Telecom Centro Norte;61,3;8;20,7
5108352;Vale de São Domingos;MT;Vale de São Domingos, MT, Brasil;-15,286;-59,0683;87,0;49,4;8,0;-25,2;Starlink;37,9;9;2,9
5108501;Vera;MT;Vera, MT, Brasil;-12,3017;-55,3045;3360,0;83,9;1,0;63,4;Brasil TecPar;52,4;15;30,7
5105507;Vila Bela da Santíssima Trindade;MT;Vila Bela da Santíssima Trindade, MT, Brasil;-15,0068;-59,9504;2935,0;71,6;0,9;15,2;Infotec;70,2;12;16,5
5108600;Vila Rica;MT;Vila Rica, MT, Brasil;-10,0137;-51,1186;4994,0;87,4;0,9;20,1;Pedro Software Informatica;18,9;18;25,6
5108402;Várzea Grande;MT;Várzea Grande, MT, Brasil;-15,6458;-56,1322;76653,0;64,3;34,3;47,8;Nave Net;30,0;41;23,7
5100201;Água Boa;MT;Água Boa, MT, Brasil;-14,051;-52,1601;3879,0;79,5;2,1;33,3;Help Internet;44,2;16;11,8
1100015;Alta Floresta D'Oeste;RO;Alta Floresta D'Oeste, RO, Brasil;-11,9283;-61,9953;7812,0;96,2;0,3;18,1;Uni Telecom;79,3;21;34,4
1100379;Alto Alegre dos Parecis;RO;Alto Alegre dos Parecis, RO, Brasil;-12,132;-61,835;3103,0;95,8;0,4;32,2;Uni Telecom;71,2;10;25,4
1100403;Alto Paraíso;RO;Alto Paraíso, RO, Brasil;-9,71429;-63,3188;3561,0;91,0;0,6;75,4;Worldnet Fibra Optica;48,9;12;20,4
1100346;Alvorada D'Oeste;RO;Alvorada D'Oeste, RO, Brasil;-11,3463;-62,2847;8913,0;99,3;0,2;15,6;Uni Telecom;87,6;9;65,5
1100023;Ariquemes;RO;Ariquemes, RO, Brasil;-9,90571;-63,0325;30718,0;74,2;23,5;24,7;Worldnet Fibra Optica;31,5;29;28,0
1100452;Buritis;RO;Buritis, RO, Brasil;-10,1943;-63,8324;10980,0;97,3;0,4;34,6;Turbo Net;46,2;14;35,9
1100031;Cabixi;RO;Cabixi, RO, Brasil;-13,4945;-60,552;2697,0;96,7;0,4;35,9;Cpw Internet;64,4;10;47,8
1100601;Cacaulândia;RO;Cacaulândia, RO, Brasil;-10,349;-62,9043;1699,0;91,8;0,4;91,8;Bulleti-Net;91,2;10;40,0
1100049;Cacoal;RO;Cacoal, RO, Brasil;-11,4343;-61,4562;31190,0;86,4;12,3;14,1;Speed Travel;31,2;25;31,5
1100700;Campo Novo de Rondônia;RO;Campo Novo de Rondônia, RO, Brasil;-10,5712;-63,6266;2488,0;94,5;0,6;28,3;Rio Net Provedor;87,2;12;27,7
